startTimeStep 1stPedId 2ndPedId durationTimesteps-PID5 xPath-PID5 yPath-PID5
97 30 90 1 12.244947185893857 7.759155668838385
97 90 92 1 11.662539461130297 8.478190359860537
98 14 47 1 26.229973589387612 12.637263455921065
100 1 67 1 16.541330606334924 16.27943180838201
100 17 38 1 26.08787434145302 8.79116213559178
100 20 28 1 11.599141651722556 11.980293377512806
101 1 9 1 17.872208492848163 15.802223516598428
102 45 46 1 9.032355529718634 9.904734651122322
102 46 90 1 10.065910233583296 8.891545664298782
104 2 55 1 22.613206943258106 9.738974034069145
106 30 72 1 11.061574021696867 7.334031874037637
106 34 43 1 14.503607175812839 2.733131974871294
107 45 46 1 6.560635595263101 9.931813759336437
108 29 75 1 22.254570521273354 15.009280463564629
109 17 93 1 25.61559653015962 6.8358680956097535
110 90 92 1 10.153578138553836 9.806346925335298
113 3 63 1 14.141481553336266 13.62238760079645
113 7 52 1 12.528108900152384 15.016265317513817
113 58 83 1 10.428460557020788 15.941808696872616
114 7 58 1 11.08451993298785 14.77842077280243
114 12 70 1 20.368740362596974 3.580784005150688
114 28 77 1 10.246306580302099 12.600056320656858
114 58 77 3 10.41506911306925 14.002750041015164
- - - - 10.210856813169709 14.182683323428051
- - - - 10.210856813169709 14.182683323428051
115 7 52 1 12.485610808153039 15.043261741192861
116 7 58 4 10.935829195528413 14.952883672454892
- - - - 10.94552880119884 15.019219249103315
- - - - 10.937090548227431 14.920406157059146
- - - - 10.937090548227431 14.920406157059146
117 20 28 1 11.171707990671 11.463488956528817
118 90 92 1 8.08019479142811 9.884310246510442
120 37 66 2 12.38834609040222 8.569093250499407
- - - - 12.38834609040222 8.569093250499407
120 38 53 1 23.46075572610824 8.444673287371042
122 48 73 1 16.432471388654175 2.7721367908382
123 10 76 2 11.142120281544582 6.231292528795577
- - - - 11.142120281544582 6.231292528795577
123 72 76 2 10.436383441274826 6.705409689474468
- - - - 10.436383441274826 6.705409689474468
125 10 98 1 12.477537438680278 7.05303155629018
125 28 30 1 8.390009033295975 10.079044337352883
125 37 72 1 10.863879717681296 7.992038992087638
127 28 30 1 7.760295926817067 10.022310112888334
133 7 78 1 11.484833548306948 13.886824018972172
133 7 83 1 10.981018949105692 14.946924396907903
134 3 20 1 12.146625580886997 11.749744037597232
134 3 78 1 12.205915192649542 12.52254046067075
134 8 32 1 14.753810168763628 7.915902340578034
134 33 74 1 13.64088632330801 5.990320691434607
134 66 97 1 13.003742241456287 9.867426283391904
135 18 22 1 16.064178750688903 12.89430701094729
135 22 63 1 15.289836727697386 13.467536350296346
135 52 78 1 12.362409694913545 13.696280680864344
136 11 15 1 20.73944139331752 5.2993827746937985
